"EAN"|"CODE_ISP"
3499320001755|"F-13946"
740980833|"F-13948"
7800060413351|"F-13954"
7800059002832|"F-13956"
7800007737922|"F-13967"
7809591401080|"F-13977"
7800050002626|"F-13981"
7804636590002|"F-13991"
7730969300974|"F-13999"
743836552|"F-1400"
7800007125057|"F-1400"
7800086712704|"F-1400"
7800060127777|"F-14004"
7800050002763|"F-14012"
7800018132174|"F-14024"
744616916|"F-14031"
7800063001432|"F-14031"
7800063120928|"F-14031"
7795368001938|"F-14033"
740020462|"F-14035"
7793640216094|"F-14035"
7793640992479|"F-14035"
7793640992530|"F-14035"
7800007154071|"F-1404"
7800034517641|"F-1404"
7800007663894|"F-14041"
7800060126459|"F-14045"
7800060126534|"F-14046"
7800028001095|"F-14047"
7800007154231|"F-1405"
7800063001241|"F-14052"
7800068011139|"F-14065"
7800068011146|"F-14065"
7800060119086|"F-14069"
7800060119246|"F-14070"
7800026053133|"F-14074"
742902854|"F-14077"
7800007672964|"F-14077"
7800060121225|"F-14083"
7800060413863|"F-14084"
7800060414679|"F-14084"
7800070005010|"F-14089"
7800026021293|"F-141"
7800007126610|"F-14103"
7800026006832|"F-14148"
740488684|"F-14157"
7800063310862|"F-14157"
7800018130705|"F-14163"
744106068|"F-14165"
7800060132429|"F-14165"
7800060132504|"F-14165"
744106500|"F-14166"
7800060132696|"F-14166"
7800029003029|"F-14169"
7800029003036|"F-14169"
740945475|"F-14170"
740947475|"F-14170"
7800004261505|"F-14170"
7800004261529|"F-14170"
7800004261543|"F-14170"
7800004500260|"F-14170"
7800004509126|"F-14170"
7800004261512|"F-14171"
7800004261536|"F-14171"
7800004261550|"F-14171"
7800004500277|"F-14171"
7800004509119|"F-14171"
7800028002511|"F-14173"
7800060118867|"F-14179"
7809591400885|"F-14188"
7809591400915|"F-14188"
7800063370033|"F-14191"
7800063370057|"F-14191"
7800063370040|"F-14192"
7800063370064|"F-14192"
7800026020470|"F-14198"
744433652|"F-14199"
7800026026465|"F-14199"
741558010|"F-14200"
7800044002069|"F-14200"
7896261011038|"F-14205"
7800063370040|"F-14211"
7800028002740|"F-14213"
7800028002757|"F-14214"
7800060412897|"F-14217"
7800060413788|"F-14218"
740661696|"F-14219"
7800060412972|"F-14219"
7800018158419|"F-14228"
7800018162447|"F-14228"
4048846003836|"F-14229"
7809599500365|"F-14229"
